nomCru	country_label	subregion_label	area_label	label	millesime	volume	date_achat	prix	cote	quantite_courante	quantite_achat	garde_min	garde_max	garde_optimum	suggestion	comment	lieu_achat	canal_vente
Armelle et Bernard Rion - Chardonnay	France	Bourgogne	Bourgogne	blanc	2021	75 cl	2024-09-27	18	18	1	3	2	5	2		j'ai été surpris par la finesse de ce vin, pour le prix on est loin du classique Chardonnay bourguignon de base.	Domaine Armelle et Bernard Rion	En direct du producteur
Armelle et Bernard Rion - Chardonnay	France	Bourgogne	Bourgogne	blanc	2022	1,5 l	2024-09-27	44	44	1	1	2	5	2	Apéro, poisson, fromage	fermentation cuve inox et fût de chêne français 12 mois avec bâtonnage régulier	Domaine Armelle et Bernard Rion	En direct du producteur
Armelle et Bernard Rion - La Croix Blanche	France	Bourgogne	Bourgogne	rouge	2022	1,5 l	2024-09-27	44	44	1	1	2	7	2		pour les cousinades	Domaine Armelle et Bernard Rion	En direct du producteur
Armelle et Bernard Rion - Marsannay	France	Bourgogne	Marsannay	rouge	2022	75 cl	2024-09-27	32	32	3	3	3	10	3			Domaine Armelle et Bernard Rion	En direct du producteur
Audebert et Fils	France	Vallée de la Loire	Bourgueil	rosé	2009	75 cl	2010-07-19	5.8	5.8	0	3	1	5	1			chez le producteur	En direct du producteur
Audebert et Fils	France	Vallée de la Loire	Saint Nicolas de Bourgueil	rouge	2008	75 cl	2010-07-19	6	6	0	2	1	5	1			chez le producteur	En direct du producteur
Audebert et Fils - Les Marquises	France	Vallée de la Loire	Bourgueil	rouge	2004	75 cl	2010-07-19	11	11	0	3	4	15	4			chez le producteur	En direct du producteur
Aurélie Berthod - Chorey-Lès-Beaune	France	Bourgogne	Chorey-Lès-Beaune	rouge	2022	75 cl	2024-03-03	20	20	3	3	3	10	3			FAV Cruseilles 2024	En direct du producteur
Aurélie Berthod - Pernand Vergelesses 1er cru creux de la net	France	Bourgogne	Pernand-Vergelesses	blanc	2018	75 cl	2022-02-26	27	27	1	3	3	10	3			foire aux vins Cruseilles 2022	Salon de vignerons
Aurélie Berthod - Pernand Vergelesses 1er cru creux de la net	France	Bourgogne	Pernand-Vergelesses	blanc	2022	75 cl	2024-03-03	30	30	3	3	3	10	5			FAV Cruseilles 2024	En direct du producteur
Aurélie Berthod - Pernand Vergelesses sous les cloux	France	Bourgogne	Pernand-Vergelesses	rouge	2019	75 cl	2022-02-26	20	20	1	3	4	15	4			foire aux vins Cruseilles 2022	Salon de vignerons
Auxy-Duresses Tres vieilles vignes Alain Gras	France	Bourgogne	Auxey-Duresses	rouge	2018	75 cl	2021-03-28	27.8	27.8	2	6	3	10	3			Le clos privé 	Achat sur Internet
Baloun Dornfelder Pozdní Sb?r 	République Tchèque	Moravie	Moravie	rouge	2008	75 cl	2010-09-06	12	12	0	1	2	8	5		ne devrait pas être trop boisé à ma demande au magasin	Prague	Caviste
Baloun Sauvignon Pozdní Sb?r	République Tchèque	Moravie	Moravie	blanc	2009	75 cl	2011-06-24	10	10	0	1	1	5	1			Prague	Caviste
Barbeito - Rainwater Reserva - Medium dry	Portugal	Madeira	Terras Madeirenses	vin blanc muté	-0	75 cl	2016-05-21	0	15	1	1	1	15	1	Excellent as an aperitif, with salted nuts, olives, tapas, consomme?cheese.. servir frais 11° ou 12°	Gold colour.. Quite aromatic!. Caramel, nuts, almonds, candied fruits. Full,extreme softness. Longfresh.. 	offert par Franck et Cécile	Cadeau
Baron Philippe de Rothschild - Sélection Anniversaire	France	Bordeaux	Bordeaux	rouge	2006	1,5 l	2008-11-29	24.95	24.95	0	1	2	8	0		Bofrost		Non défini
Ben Glaetzer - Bishop	Australie	Australie Méridionale	Barossa Valley	rouge	2010	75 cl	2012-12-13	22	22	0	2	1	10	5		Le nez est profond avec des fruits compotés ,des arômes de havane, la réglisse,le poivre et l'eucalyptus.La bouche est pleine,visqueuse avec une sensation veloutée délicieuse.La finale rappelle la figue,les fruits noirs 	caveprivée.com	Achat sur Internet
Benoit Salel &amp; Élise Renaud - Le temps qui reste	France	Vallée du Rhône	Vin de Pays de l'Ardèche	rouge	2020	75 cl	2023-09-30	23	23	1	1	1	10	7			Caviste Ruoms &quot;Le Terminus&quot;	Caviste
Bertrand Machard de Gramont	France	Bourgogne	Vosne-Romanée	rouge	2013	75 cl	2016-02-26	32	32	0	3	6	15	6			Foire d'Annemasse	Salon de vignerons
Bertrand Machard de Gramont - Les Grands Chaillots	France	Bourgogne	Bourgogne	rouge	2015	75 cl	2017-06-03	15	15	0	6	2	5	2		voiyage bourgogne avec Pierre Tatzber (50 ans)	Vergy l'étang	En direct du producteur
Bertrand Machard de Gramont - Les Hauts Pruliers	France	Bourgogne	Nuits Saint Georges	rouge	2009	75 cl	2012-03-18	27	27	0	3	4	15	10			Nuits St Georges	Salon de vignerons
Bertrand Machard de Gramont - Les Terrasses des Vallerots	France	Bourgogne	Nuits Saint Georges	rouge	2011	75 cl	2016-02-26	23	23	0	6	4	8	4			Foire d'Annemasse	Salon de vignerons
Bertrand Machard de Gramont - Les Terrasses des Vallerots	France	Bourgogne	Nuits Saint Georges	rouge	2014	1,5 l	2017-06-03	55	55	0	1	4	20	4		voyage bourgogne avec Pierre Tatzber (50 ans)	Vergy l'étang	En direct du producteur
Bertrand Machard de Gramont - Les Vallerots	France	Bourgogne	Nuits Saint Georges	rouge	2009	75 cl	2012-03-18	24	24	0	3	4	15	10			Nuits St Georges	Salon de vignerons
Besser - vendanges tardives	France	Alsace et Lorraine	Alsace Gewurztraminer	blanc liquoreux	1999	75 cl	2008-03-29	9.95	9.95	0	2	5	25	0		Foire aux vins de printemps - Auchan. 		Non défini
Bibacchus - Humagne Rouge	Suisse	Valais	Valais	rouge	2006	75 cl	2008-05-08	9.8	9.8	0	1	2	4	0		COOP gva		Non défini
Bibacchus - Malvoisie	Suisse	Valais	Valais	blanc moëlleux	2006	75 cl	2008-06-22	0	0	0	1	2	5	0		remis en cave car pas bu		Non défini
Bibacchus - Petite Arvine	Suisse	Valais	Valais	blanc	2007	75 cl	2008-05-08	9.2	9.2	0	1	1	4	0		COOP Gva		Non défini
Biserno	Italie	Toscane	Toscane	rouge	2011	75 cl	2017-09-30	78	110	0	2	6	15	6			FAV Balexert (Globus) 2017	Epicerie fine
Bissinger Premium Cuvée	France	Champagne	Champagne	blanc effervescent	-0	75 cl	2014-05-27	0	15	0	1	2	10	2			Offert par Stéphane Pasquier (Broadridge)	Cadeau
Biza Cabernet Sauvignon Výb?r z Hrozn?	République Tchèque	Moravie	Moravie	rouge	2009	75 cl	2011-06-24	10	10	0	1	1	5	1			Prague	Caviste
Biza Sauvignon Pozdní Sber	République Tchèque	Moravie	Moravie	blanc	2008	75 cl	2010-09-06	12	12	0	1	2	4	3		Vin blanc sec, poissons, viandes blanches	Prague	Caviste
Bodegas Aalto - PS	Espagne	Castille-Leon	Ribera del Duero	rouge	2008	75 cl	2011-10-04	25	25	0	3	3	13	3	avant 2021	Âge des vignes : plus de 60 ans.. Terroir : Les raisins proviennent de nombreuses parcelles du domaine, au sol argilo-calcaire.. Vinification :En cuves tronconiques inox.. Vinification des parcelles séparées.. Élevage : 23 mois en barriques de chêne dont 50 % neuves et 50 % d?un vin.. Assemblage avant la mise en bouteilles.. Pas de filtration.	Caveprivée.com	Achat sur Internet
Bodegas Vega Sicila Unico	Espagne	Castille-Leon	Ribera del Duero	rouge	2008	75 cl	2016-04-20	259.05	259.05	1	1	20	40	25			Vinissimus	Achat sur Internet
Bodegas Vega Sicila Unico	Espagne	Castille-Leon	Ribera del Duero	rouge	1965	75 cl	2016-10-07	220	220	0	1	10	50	10			ebay	Enchères en ligne
Bouchard Ainé &amp; Fils	France	Bourgogne	Gevrey-Chambertin	rouge	2008	75 cl	2010-12-17	18.5	18.5	0	1	4	8	4			Auchan	Grande surface
