nomCru	country_label	subregion_label	area_label	label	millesime	volume	date_achat	prix	cote	quantite_courante	quantite_achat	garde_min	garde_max	garde_optimum	suggestion	comment	lieu_achat	canal_vente
Christophe Abbet - L'air du temps	Suisse	Valais	Valais	blanc	2007	75 cl	2013-08-10	30	30	1	6	5	15	5		100% Marsanne	Martigny	En direct du producteur
Christophe Abbet - L'Un dans L'Autre	Suisse	Valais	Martigny	rouge	2006	50 cl	2008-09-14	11	11	0	3	2	6	0				Non défini
Christophe Abbet - L'Un dans L'Autre	Suisse	Valais	Martigny	rouge	2008	50 cl	2011-03-12	13	13	0	1	1	10	5		Un vin magique, entre gamay et Syrah, Gamay-Syrah d'abord, puis... plus rien, puis Syrah-gamay	Martigny, Valais, Suisse	En direct du producteur
Christophe Abbet - L'Un dans L'Autre	Suisse	Valais	Martigny	rouge	2013	50 cl	2017-10-07	23	23	0	3	3	8	3			Lavinia Genève	Caviste
Christophe Abbet - L'Un dans L'Autre	Suisse	Valais	Martigny	rouge	2014	75 cl	2019-08-16	24	24	0	3	1	15	1			Martigny	En direct du producteur
Christophe Abbet - La Bourrigne	Suisse	Valais	Valais	blanc	2013	75 cl	2017-01-28	19	19	0	1	1	7	1			Lavinia Genève	Caviste
Christophe Abbet - Les forêts	Suisse	Valais	Martigny	rouge	2019	75 cl	2023-12-02	25	25	1	3	1	10	1			Chez Abbet à Martigny	En direct du producteur
Christophe Abbet - Marsanne	Suisse	Valais	Martigny	vin jaune	2000	50 cl	2008-08-22	39	39	0	1	5	20	0		Lavinia Genève.. Oxydatif présenté comme un &quot;air du temps&quot; mais &quot;puissance 10&quot; d'après le sommelier de Lavinia.		Non défini
Christophe Abbet - Païen	Suisse	Valais	Martigny	blanc	2017	75 cl	2019-08-16	28	28	1	3	1	15	1			Martigny	En direct du producteur
Christophe Abbet - Païen	Suisse	Valais	Martigny	blanc	2018	75 cl	2022-03-16	0	0	1	2	1	5	1			Lavinia offert par nath kdo anniversaire 2022	Caviste
Christophe Abbet - Rue des fontaines	Suisse	Valais	Valais	rouge	2009	75 cl	2011-03-12	11.5	11.5	0	3	1	5	1		un vin croquant	Martigny, Valais, Suisse	En direct du producteur
Christophe Abbet - Rue des fontaines	Suisse	Valais	Valais	rouge	2016	75 cl	2019-08-16	17	17	0	3	1	15	1			Martigny	En direct du producteur
Christophe Abbet - Syrah	Suisse	Valais	Valais	rouge	2006	75 cl	2008-08-22	22	22	0	1	2	8	0		Lavinia Genève		Non défini
Christophe Abbet - Syrah	Suisse	Valais	Valais	rouge	2007	75 cl	2008-11-23	18.5	18.5	0	2	2	10	0		Très séduisante déjà bien que jeune.. La 2001 est très surprenante (positivement: tanins très findus, rondeur, bel ensemble et très porté sur le fruit) mais élevée différemment (2001 barrique).. Voir ce aue cela donnera en 2014... si on peut !		Non défini
Christophe Abbet - Syrah	Suisse	Valais	Valais	rouge	2001	75 cl	2008-11-23	25	25	0	1	3	10	0		surprenante positivement: goûtée chez Abbet le 23-11-2008, très portée sur le fruit quoique tannique; rond, tanins bien fondus. . Dommage qu'on en ait qu'une !		Non défini
Christophe Abbet - Syrah	Suisse	Valais	Valais	rouge	2009	75 cl	2011-03-12	21	21	0	4	1	20	10		équipée pour traverser le temps	Martigny, Valais, Suisse	En direct du producteur
Christophe Abbet - Syrah	Suisse	Valais	Valais	rouge	2016	75 cl	2019-08-16	28	28	3	6	4	25	4			Martigny	Non défini
Christophe Abbet/Antoine Petrus - Alchimie	Suisse	Valais	Martigny	blanc liquoreux	2010	50 cl	2021-12-05	78	78	2	2	1	25	1	également intéressant avec un gorgonzola, l'oxydation légère apporte un plus non négligeable.	un vin rare, étonnant. Gamme de vin développée en synergie Antoine Petrus, Directeur Général et Directeur des achats vins de Taillevent Paris et Meilleur Ouvrier de France sommellerie et Maître d'Hôtel.	Martigny, cave ouvert Christophe Abbet	En direct du producteur
Christophe et Yoann Perrin Chardonnay Floral	France	Jura	Côtes du Jura	blanc	2022	75 cl	2025-02-22	11	11	3	3	2	5	2			salon des vins Cruseilles	En direct du producteur
Christophe et Yoann Perrin Chardonnay-Savagnin	France	Jura	Côtes du Jura	blanc	2018	75 cl	2024-03-03	13	13	0	3	2	10	2			FAV Cruseilles 2024	En direct du producteur
Christophe et Yoann Perrin Chardonnay-Savagnin	France	Jura	Côtes du Jura	blanc	2023	75 cl	2025-02-22	12	12	5	6	2	10	2			salon des vins Cruseilles	En direct du producteur
Christophe et Yoann Perrin Fleur de Savagnin	France	Jura	Côtes du Jura	blanc	2022	75 cl	2025-02-22	14	14	3	3	2	5	2			salon des vins Cruseilles	En direct du producteur
Christophe et Yoann Perrin Harmonie	France	Jura	Côtes du Jura	rouge	2023	75 cl	2025-02-22	0	13	1	1	2	5	2			salon des vins Cruseilles	En direct du producteur
Christophe et Yoann Perrin Vin Jaune	France	Jura	Côtes du Jura	vin jaune	2016	75 cl	2024-03-03	29	29	0	3	1	20	1			FAV Cruseilles 2024	En direct du producteur
Christophe et Yoann Perrin Vin Jaune	France	Jura	Côtes du Jura	vin jaune	2017	75 cl	2025-02-22	29	29	1	3	1	20	1			salon des vins Cruseilles	En direct du producteur
Christophe Perrin Chardonnay Floral (ouillé)	France	Jura	Côtes du Jura	blanc	2022	75 cl	2024-03-03	0	10	-2	1	2	5	2		Cadeau	FAV Cruseilles 2024	Non défini
Christophe Perrin Savagnin	France	Jura	Côtes du Jura	blanc	2018	75 cl	2024-03-03	17	17	0	3	2	10	2			FAV Cruseilles	En direct du producteur
Christophe Perrin Savagnin	France	Jura	Côtes du Jura	blanc	2019	75 cl	2025-02-22	17	17	1	3	2	15	2				Non défini
Clarendelle	France	Bordeaux	Pessac-Léognan	rouge	2016	75 cl	2020-12-13	39	39	0	2	4	18	4		pessac pas mal, même si l'inspiration par Haut-Brion... 	1jour1vun	Achat sur Internet
Claude Ramu - Saturnales	Suisse	Genève	Dardagny	blanc	2007	75 cl	2009-03-26	0	11.5	0	2	1	3	0	Il se marie au saumon fumé et frais.	Le Kerner fruité et épicé est une curiosité à Genève, il est issu d'un croisement entre le Riesling et le Trollinger rouge. 		Non défini
Clos de Châteauneuf - Humagne blanche	Suisse	Valais	Varen/Varone	blanc	2006	75 cl	2008-06-17	15	15	0	1	2	5	0	Dégustation : nez de fleurs blanches, de pêche blanche, d'amande, note de craie, caractère minéral; en bouche frais, vif, finale citronnée, petite amertume liée au cépage.. . Accompagnement : crustacés, coquilles St-Jacques, ris de veau, viandes blanches, volailles, mets au fromage, raclette.. . Température de service : 10 -12° C. . 	Gamme : Clos de Châteauneuf . Caractéristiques : blanc sec élevé en cuve . Cépage : Humagne Blanche. Terroir : Clos de Châteauneuf. . Récolte par m2 : 500 gr.		Non défini
Clos du Joncuas	France	Vallée du Rhône	Gigondas	rouge	2007	75 cl	2014-10-23	16.7	16.7	0	3	4	10	7			Caveau de gigondas	En direct du producteur
Clos du Marquis	France	Bordeaux	Saint Julien	rouge	2006	75 cl	2011-09-18	32.5	32.5	0	2	4	25	4		FAV 09/2011	Auchan	Grande surface
Clos du Mont-Olivet	France	Vallée du Rhône	Châteauneuf du Pape	rouge	2003	75 cl	2010-02-18	0	0	0	1	3	10	3			offert par Anne Marie	Cadeau
Clos Fourcatères	France	Sud-Ouest	Jurançon	blanc liquoreux	2005	75 cl	2008-03-29	6.5	6.5	0	2	3	12	0		Auchan foire de printemps		Non défini
Clos les Fites	Espagne	Catalogne	Priorato	rouge	2004	75 cl	2008-10-03	14.95	14.95	0	3	4	6	0	Boire le millésime 2003 entre 2006 et 2010.. . Décanter au moins une heure avant de déguster, ou déboucher la bouteille le matin pour la boire le soir.	Robe de couleur bigarreau aux reflets pourpres.. Nez puissant et complexe, fruits rouges et mûrs, caramel, cacao, toast.... Au palais, saveur fraîche, fruitée, minérale, de fruits rouges. Volumineux et gras, avec une fin de bouche longue et persistante.. 		Non défini
Clos Sainte Magdeleine	France	Provence-Corse	Cassis	blanc	2014	75 cl	2016-09-17	0	0	0	1	2	5	2			offert par Eric	Cadeau
Clos Teddi	France	Provence-Corse	Patrimonio	rouge	2007	75 cl	2008-09-11	7.5	7.5	0	6	2	8	0		FAV Carrefour 2008		Non défini
Club des Sommeliers	France	Bordeaux	Bordeaux	rouge	2006	75 cl	2008-02-17	0	0	0	1	3	5	0		offert par Samantha et Manu		Non défini
Club des Sommeliers Pinot Noir	France	Bourgogne	Bourgogne	rouge	2006	75 cl	2008-07-06	0	0	0	1	2	4	0		Amené par Sam et Manu		Non défini
Comte de Valois	France	Bordeaux	Sauternes	blanc liquoreux	2010	75 cl	2025-03-02	0	0	1	1	5	30	5			Récupéré dans la cave de papa	Non défini
Couly-Dutheil - Clos de l'Echo	France	Vallée de la Loire	Chinon	rouge	2008	75 cl	2012-01-01	0	15	0	1	3	10	3		acheté chez Nicolas	Cadeau de noël 2011 parents	Caviste
Couly-Dutheil - Clos de l'Echo	France	Vallée de la Loire	Chinon	rouge	2001	75 cl	2015-11-22	12.5	12.5	0	6	3	20	10		côte argus idealwine 19.50 acheté 12.50 déjà bon à boire	ventes privées	Achat sur Internet
Crémant du Jura	France	Jura	Crémant du Jura	blanc effervescent	-0	75 cl	2024-03-03	0	12	1	1	1	5	1		Cadeau	FAV Cruseilles 2024	Non défini
Cristal de Louis Roederer	France	Champagne	Champagne Grand Cru	blanc effervescent	2006	75 cl	2014-03-18	0	0	0	1	2	20	9	Anniv Rémi ou Titi pour 18 ans ?	acheté chez Lavinia.	cadeau des 45 ans par Nath	Cadeau
Cuvée de l'Ange	France	Sud-Ouest	Madiran	rouge	2001	75 cl	2007-09-13	4.55	4.55	0	1	4	12	0				Non défini
Cuvée de l'Ange	France	Sud-Ouest	Madiran	rouge	2003	75 cl	2008-10-12	4.55	4.55	0	2	4	12	0		FAV Champion		Non défini
Cyprès de Climens	France	Bordeaux	Barsac	blanc liquoreux	2005	75 cl	2010-02-13	45	45	0	2	5	30	15		pseudo arnaque... vendu comme du Climens dans le titre alors qu'il s'agissait du 2nd vin.	ebay	Enchères en ligne
Daniel et Roland Vernay	France	Vallée du Rhône	Côte Rotie	rouge	2004	75 cl	2007-02-15	22.5	22.5	0	2	4	15	0		acheté à Auchan lors de la foire aux vins		Non défini
Delas Frères - Les Challeys	France	Vallée du Rhône	Saint Joseph	rouge	2007	75 cl	2009-09-15	10.95	10.95	0	3	3	10	0		FAV Auchan 09-2009		Non défini
Denis Marx - Brut Grande réserve	France	Champagne	Champagne	blanc effervescent	-0	75 cl	2017-06-18	0	20	0	1	2	10	2			Offert par Jean Jacques et Anne Marie	Cadeau
Deutz - Classic Brut	France	Champagne	Champagne	blanc effervescent	-0	75 cl	2008-02-17	0	0	0	1	2	10	0		Offert par Samantha et Manu		Non défini
Didier Doué - Brut Sélection	France	Champagne	Champagne	blanc effervescent	-0	75 cl	2017-11-12	17.5	17.5	0	3	2	4	2		A boire dans les 2 ans	Foire aux vins de Sévrier	Salon de vignerons
Didier Doué - Millésimé	France	Champagne	Champagne	blanc effervescent	2007	75 cl	2017-11-12	22	22	0	3	2	12	11			Foire aux vins de Sévrier	Salon de vignerons
Disznokö - Aszu 5 Puttonyos	Hongrie	Nord Est	Tokaj-Hegyalja ou Tokaji	blanc liquoreux	1995	75 cl	2009-12-12	3	3	0	3	10	40	10			caveprivee	Achat sur Internet
Domaine  Belluard - Le Feu	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2011	75 cl	2012-11-11	20	20	0	3	2	10	2			directement chez Belluard	En direct du producteur
Domaine  Belluard - Le Feu	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2014	75 cl	2015-11-21	21.6	21.6	0	3	1	12	8			chez Belluard	En direct du producteur
Domaine A. et P. De Villaine - 1er cru Grésigny	France	Bourgogne	Rully	blanc	2014	75 cl	2017-02-25	25	25	0	3	5	15	10		Au delà des arômes de pêche, d'abricot  et de ses notes boisées que l'on perçoit au nez délicates, sa naturelle finesse, son élégance et sa minéralité fruité lui assureront un vieillissement au-delà de 10 ans.. 	Bouzeron	Non défini
Domaine A. et P. de Villaine - 1er cru Passetemps	France	Bourgogne	Santenay	rouge	2012	75 cl	2015-01-15	25	25	0	3	4	20	4			Bouzeron	En direct du producteur
Domaine A. et P. De Villaine - La Digoine	France	Bourgogne	Bourgogne Côte Chalonnaise	rouge	2010	75 cl	2014-12-20	33	33	0	1	2	12	7			Duverney Annemasse	Caviste
Domaine A. et P. De Villaine - La Digoine	France	Bourgogne	Bourgogne Côte Chalonnaise	rouge	2013	75 cl	2015-01-15	17	17	0	3	2	5	2			Bouzeron	En direct du producteur
Domaine A. et P. De Villaine - La Digoine	France	Bourgogne	Bourgogne Côte Chalonnaise	rouge	2018	75 cl	2020-02-07	19	19	0	3	2	5	2			Commande a la propriété 	En direct du producteur
Domaine A. et P. De Villaine - Les Clous	France	Bourgogne	Bourgogne Côte Chalonnaise	blanc	2013	75 cl	2015-01-15	16	16	0	3	2	8	2			Bouzeron	En direct du producteur
Domaine A. et P. De Villaine - Les Montots	France	Bourgogne	Mercurey	rouge	2013	75 cl	2015-01-15	19	19	0	3	3	8	3			Bouzeron	En direct du producteur
Domaine A. et P. De Villaine - Les Saint Jacques	France	Bourgogne	Rully	blanc	2012	75 cl	2014-03-14	17.5	17.5	0	6	2	6	2		élégant, minéral, grande maturité de fruit qui lui confère une riche et intense sensation de fruit blanc, de noyau de cerise, de poire et de beurre. Vigne plantée en 90 en pied de coteau juste en dessous du 1er cru clos St Jacques.. Servir avec poisson, viande blanche (sans sauce) et fromage de chèvre doux. 	A et P de Villaine, propriété	En direct du producteur
Domaine A. et P. De Villaine - Les Saint Jacques	France	Bourgogne	Rully	blanc	2013	75 cl	2015-01-15	17.5	17.5	0	9	2	8	2			Bouzeron	En direct du producteur
Domaine A. et P. De Villaine - Les Saint Jacques	France	Bourgogne	Rully	blanc	2015	75 cl	2017-02-25	17.5	17.5	0	6	2	15	7			Bouzeron	En direct du producteur
Domaine A. et P. De Villaine - Les Saint Jacques	France	Bourgogne	Rully	blanc	2014	75 cl	2017-02-25	18	18	0	3	2	15	7			Bouzeron	En direct du producteur
Domaine A. et P. De Villaine - Les Saint Jacques	France	Bourgogne	Rully	blanc	2018	75 cl	2020-02-07	20	20	3	6	2	8	2			Commande a la propriété 	En direct du producteur
Domaine Abbaye de Valbonne	France	Languedoc-Roussillon	Collioure	blanc	2009	75 cl	2014-11-15	0	0	0	1	1	5	1			offert par Flo et Mab	Cadeau
Domaine Alain Gras	France	Bourgogne	Saint Romain	blanc	2015	75 cl	2017-02-25	20.5	20.5	0	6	3	10	5		passe pour être un des meilleurs vignerons du coin (St Aubin, Auxey Duresses et St Romain)	Caveau de St Aubin	En direct du producteur
Domaine Alain Gras - Très Vieilles Vignes	France	Bourgogne	Auxey-Duresses	rouge	2015	75 cl	2017-02-25	23	23	0	3	3	10	5		passe pour être un superbe vin	Caveau de St Aubin	En direct du producteur
Domaine Alain Pautré - Ronsien	France	Bourgogne	Chablis	blanc	2005	75 cl	2007-05-19	0	0	0	1	2	5	0		Offert par Evelyne et Denis		Non défini
Domaine André et Mireille Tissot	France	Jura	Côtes du Jura	blanc	2005	75 cl	2009-07-24	9	9	0	3	7	25	0		Bien garder jusqu'en 2012 pour en tirer le potentiel		Non défini
Domaine André et Mireille Tissot	France	Jura	Arbois	vin jaune	1985	62,5 cl	2009-12-30	60	60	0	2	4	50	30			Lavinia Genève	Caviste
Domaine André et Mireille Tissot - Sélection	France	Jura	Arbois	blanc	2004	1,5 l	2009-07-24	21.6	21.6	0	1	5	25	0				Non défini
Domaine André et Mireille Tissot - Sélection	France	Jura	Arbois	blanc	2004	75 cl	2009-08-22	11	11	0	1	1	5	0		Monoprix		Non défini
Domaine André et Mireille Tissot - Singulier	France	Jura	Arbois	rouge	2007	75 cl	2009-07-24	13.8	13.8	0	3	3	10	0		D'après Tissot: 2010=OK, 2012=Top		Non défini
Domaine Antoine Olivier - Les 2 dindes	France	Bourgogne	Bourgogne	blanc	2018	75 cl	2020-09-13	12.5	12.5	0	6	2	5	2		Le chardonnay dans une expression dédiée aux fruits et à la fraicheur. Vinification traditionnelle pour un vin à boire jeune, pour l?apéritif et pour un repas simple et convivial	au domaine à Santenay	En direct du producteur
Domaine Barraud - Mâcon-Chaintré - Les Pierres Polies	France	Bourgogne	Mâcon Villages	blanc	2014	75 cl	2016-02-26	8.5	8.5	0	6	2	5	2			Foire d'Annemasse	Salon de vignerons
Domaine Bellegarde - Cuvée Tradition	France	Sud-Ouest	Jurançon	blanc moëlleux	2007	75 cl	2008-10-30	9.5	9.5	0	2	5	10	0		Vignerons indépendants Lyon		Non défini
Domaine Bellegarde - Cuvée Tradition	France	Sud-Ouest	Jurançon Sec	blanc	2007	75 cl	2008-10-31	7	7	0	2	2	5	0		Vignerons indépendants Lyon		Non défini
Domaine Bellegarde - Cuvée Tradition	France	Sud-Ouest	Jurançon	blanc moëlleux	2006	75 cl	2009-05-07	0	9.5	0	1	3	10	0				Non défini
Domaine Bellegarde - La Pierre Blanche	France	Sud-Ouest	Jurançon Sec	blanc	2006	75 cl	2008-10-31	11.5	11.5	0	3	5	6	0		Vignerons indépendants Lyon		Non défini
Domaine Belluard -  Ayse - Mont Blanc - Brut Zéro	France	Savoie, Dauphiné et Bugey	Vin de Savoie Ayze	blanc effervescent	2005	75 cl	2009-02-14	17	17	0	1	2	5	0		Issue d'un très vieux cépage savoyard, le Gringet. Elaboré et cultivé sans pesticides de synthèse. Elevé minimum 4 ans sur lattes afin de transmettre la meilleure expression du terroir.. . Savoie - Ayse - Méthode traditionnelle &quot;Brut Zéro&quot;		Non défini
Domaine Belluard -  Ayse - Mont Blanc - Brut Zéro	France	Savoie, Dauphiné et Bugey	Vin de Savoie Ayze	blanc effervescent	2011	75 cl	2015-08-07	16	16	0	6	1	5	1			Ayse	En direct du producteur
Domaine Belluard - Les Alpes	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2011	75 cl	2012-11-11	11	11	0	3	3	6	3			directement chez Belluard	En direct du producteur
Domaine Belluard - Les Alpes	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2012	75 cl	2014-04-12	10	12	0	3	1	5	1			Dominique Belluard (commande)	Non défini
Domaine Belluard - Les Alpes	France	Savoie, Dauphiné et Bugey	Vin de Savoie	blanc	2014	75 cl	2015-11-21	16	16	0	6	1	10	6			chez Belluard	En direct du producteur
Domaine Belluard - Les perles du Mont Blanc	France	Savoie, Dauphiné et Bugey	Vin de Savoie-Ayze	blanc effervescent	2011	75 cl	2015-08-07	9	9	0	3	1	4	1			Ayse	Non défini
Domaine Belluard - Mondeuse	France	Savoie, Dauphiné et Bugey	Vin de Savoie	rouge	2011	75 cl	2012-11-11	14	14	0	3	2	12	2			directement chez Belluard	En direct du producteur
Domaine Belluard - Mondeuse	France	Savoie, Dauphiné et Bugey	Vin de Savoie	rouge	2010	75 cl	2012-11-11	14	14	0	1	2	5	2			bouteille remise en cave (prévue pour être bue mais non)	Non défini
Domaine Bernard Baudry	France	Vallée de la Loire	Chinon	rouge	2009	75 cl	2011-07-29	7.75	7.75	0	5	3	7	5	 &quot; Le Domaine &quot; est un vin structuré avec des tanins fins. L'élevage en barriques apporte de l'élégance et de l'harmonie à cette cuvée dont le potentiel de garde est de 5 à 10 ans. 	Moyenne d'âge des vignes de 30 à 35 ans. . Vinification/élevage : Vendange manuelle. . Fermentation lente dans des cuves ciment. . Elevage en cuve bois et barriques (5 à 10 ans) pour une durée de 12 mois. . Mise en bouteille à l'automne.	Cravant Les Coteaux	En direct du producteur
Domaine Bernard Baudry	France	Vallée de la Loire	Chinon	blanc	2014	75 cl	2016-04-24	0	12	0	1	3	6	3	poissons, crustacés	Sur l'unique hectare de vigne, les sols argilo-calcaire sont labourés sans utilisation de désherbants chimiques. Ils reçoivent une fumure à base de compost végétal et animal.. Vendanges : Manuelles.. Vinification : Pressurage assez long dans un pressoir pneumatique. Léger débourbage et fermentation en barriques sans utilisation de levures.	offert par Alain et Paula	Cadeau
Domaine Bernard Baudry - La Croix Boissée	France	Vallée de la Loire	Chinon	rouge	2008	75 cl	2011-07-29	14.8	14.8	0	6	5	15	10	Appelle la chasse !	la cuvée haut de gamme du domaine. A laisser mûrir en cave.	Cravant Les Coteaux	En direct du producteur
Domaine Bernard Baudry - Le Clos Guillot	France	Vallée de la Loire	Chinon	rouge	2009	75 cl	2011-07-29	11.5	11.5	1	3	5	12	7	Le Clos Guillot est un vin raffiné. Ses arômes de griottes et de fruits noires le font parfois « pinoter » certaines années. Le vin est d'une belle longueur et reste très frais en bouche.	Vendange manuelle. Fermentation de 15 jours en cuves en bois avec pigeages réguliers. Elevage de 12 mois en barriques de « 2 à 5 vins »	Cravant Les Coteaux	En direct du producteur
Domaine Bernard Baudry - Les Grézeaux	France	Vallée de la Loire	Chinon	rouge	2009	1,5 l	2011-07-29	20.6	20.6	0	1	10	15	10	&quot;Les Grézeaux&quot; est un vin concentré avec une matière dense mais toujours soyeuse due à l'influence des graviers. Il peut vieillir 10 ans voire beaucoup plus dans les grandes années.	Parcelle la plus âgée du domaine (vignes de 50 ans).. Vinification/élevage : Vendange manuelle. Fermentation en cuves ciments de 15 à 25 jours. Elevage de 12 mois en barriques de 3 à 5 ans d'âge.	Cravant Les Coteaux	En direct du producteur
Domaine Bernard Baudry - Les Grézeaux	France	Vallée de la Loire	Chinon	rouge	2009	75 cl	2011-07-29	10	10	0	3	10	15	10	&quot;Les Grézeaux&quot; est un vin concentré avec une matière dense mais toujours soyeuse due à l'influence des graviers. Il peut vieillir 10 ans voire beaucoup plus dans les grandes années.	Parcelle la plus âgée du domaine (vignes de 50 ans).. Vinification/élevage : Vendange manuelle. Fermentation en cuves ciments de 15 à 25 jours. Elevage de 12 mois en barriques de 3 à 5 ans d'âge.	Cravant Les Coteaux	En direct du producteur
Domaine Bernard Coillot Père et Fils - Vieilles Vignes	France	Bourgogne	Gevrey-Chambertin	rouge	2005	75 cl	2007-04-03	16.95	16.95	0	3	5	25	0		Acheté à Carrefour (foire aux vins).. Idée: ris de veau à la moutarde.		Non défini
Domaine Capmartin - L'instant	France	Sud-Ouest	Madiran	rouge	2016	75 cl	2019-03-10	9.9	9.9	1	1	4	12	4		Vin bio	Onalavie coop bio St Julien	Grande surface
Domaine Charles Joguet - Les Varennes du Grand Clos	France	Vallée de la Loire	Chinon	rouge	2005	75 cl	2009-03-15	0	20	0	1	5	15	0	Le domaine légendaire de l'appellation, à attendre au moins 5 ans à servir sur un canard par exemple	provenance La Java des Flacons - offert par Maryse pour mes 40 ans		Non défini
Domaine Chevrot	France	Bourgogne	Bourgogne Hautes Côtes de Beaune	rouge	2019	75 cl	2021-10-31	13.5	13.5	0	3	3	10	3			journée portes oubvertes du domaine Chevrot	En direct du producteur
Domaine Chevrot - 1er Cru - La Fussière 	France	Bourgogne	Maranges	rouge	2018	75 cl	2021-10-31	24	24	0	3	2	8	2			journée portes oubvertes du domaine Chevrot	Non défini
Domaine Chevrot - sur le chêne	France	Bourgogne	Maranges	rouge	2019	75 cl	2021-10-31	17.5	17.5	1	4	2	8	2			journée portes oubvertes du domaine Chevrot	En direct du producteur
Domaine Chopin-Gesseaume - Les Pruliers 1er Cru 	France	Bourgogne	Nuits Saint Georges	rouge	2007	75 cl	2017-07-22	0	50	0	1	4	20	4		peut vieillir	offert par Pierre Tatzber	Cadeau
Domaine Christian Belleville - 1er Cru Chapitre 	France	Bourgogne	Rully	rouge	2006	75 cl	2009-03-30	0	16	0	3	2	5	0	Tajines, coq au vin, pot au feu, rôtis, volailles	Nez très marqué par des notes florales (pivoine, pétale de rose, rose fanée, rose mouillée), de terre mouillée, de mousse et sous-bois à la limite du champignon. . En bouche, on mange la chair de la cerise très mûre et chaude. . Note « kirschées » et épic		Non défini
Domaine Christian Confuron et Fils - 1er Cru Les Vaucrains	France	Bourgogne	Nuits Saint Georges	rouge	2006	75 cl	2009-09-15	19.95	19.95	0	3	4	20	0		FAV Auchan 09-2009		Non défini
Domaine Christophe Vaudoisey - 1er Cru Clos des Chênes	France	Bourgogne	Volnay	rouge	2015	75 cl	2017-02-25	28	0	1	3	5	15	5			Volnay	En direct du producteur
Domaine Christophe Vaudoisey - 1er Cru Clos des Chênes	France	Bourgogne	Volnay	rouge	2019	75 cl	2021-10-31	27	27	2	2	3	10	3			Volnay en direct	En direct du producteur
Domaine Christophe Vaudoisey - 1er Cru Les Chanlins	France	Bourgogne	Pommard	rouge	2015	75 cl	2017-02-25	28	26	1	3	5	25	10			Volnay	En direct du producteur
Domaine Christophe Vaudoisey - 1er Cru les Mitans	France	Bourgogne	Volnay	rouge	2015	75 cl	2017-02-25	28	28	1	3	5	15	7			Volnay	En direct du producteur
Domaine Christophe Vaudoisey - 1er Cru les Mitans	France	Bourgogne	Volnay	rouge	2019	75 cl	2021-10-31	27	27	4	4	3	10	3		un Volnay surprenant par sa puissance, peut être moins de finesse (et encore) mais quelle puissance pour un Volnay !	Volnay, en direct	En direct du producteur
Domaine Christophe Vaudoisey - Les Vireuils	France	Bourgogne	Meursault	blanc	2022	75 cl	2024-09-27	35	35	2	3	3	15	3		un des rares producteurs dont les prix restent accessibles !	Volnay, au caveau	En direct du producteur
Domaine Christophe Vaudoisey - Les Vireuils	France	Bourgogne	Meursault	blanc	2015	75 cl	2017-02-25	22	22	0	3	3	15	8			Volnay	En direct du producteur
Domaine Christophe Vaudoisey - Les Vireuils	France	Bourgogne	Meursault	blanc	2019	75 cl	2021-10-31	26	26	3	6	3	10	3			Volnay en direct	En direct du producteur
Domaine Combier	France	Vallée du Rhône	Crozes-Hermitage	rouge	2010	75 cl	2011-06-19	0	0	1	1	2	5	4		offert par Nath, fête des pères 2011	Saveurs d'ici et d'ailleurs	Caviste
Domaine Combier	France	Vallée du Rhône	Crozes-Hermitage	blanc	2009	75 cl	2011-06-19	0	0	0	1	2	5	4		offert par Nath, saveurs d'ici et d'ailleurs	Saveurs d'ici et d'ailleurs	Caviste
Domaine Comtesse Eldegarde - Cabernet Franc	Suisse	Genève	Satigny	rouge	2013	75 cl	2015-08-30	0	0	0	1	1	5	1			offert par Pierre Tatzber	Cadeau
Domaine Comtesse Eldegarde - Cabernet Franc	Suisse	Genève	Satigny	rouge	2012	75 cl	2016-10-22	0	20	0	1	1	10	7			Offert par Pierre Tatzber	Cadeau
Domaine Comtesse Eldegarde - Chenin	Suisse	Genève	Satigny	blanc	2023	75 cl	2025-06-14	0	0	1	1	1	5	1			Offert par Pierre	Cadeau
Domaine Comtesse Eldegarde - Gamaret	Suisse	Genève	Satigny	rouge	2012	75 cl	2014-06-16	0	0	0	1	1	5	1		Avec Pierre Tatzber	échangé contre un &quot;Alpes&quot; au boulot	Echange
Domaine Comtesse Eldegarde - Gamaret	Suisse	Genève	Satigny	rouge	2013	75 cl	2016-09-25	25	25	0	3	5	10	5			par Pierre Tatzber	En direct du producteur
Domaine Comtesse Eldegarde - Sauvignon	Suisse	Genève	Satigny	blanc	2013	75 cl	2015-06-15	0	0	0	1	1	5	1			offert par Pierre Tatzber	Cadeau
Domaine Comtesse Eldegarde - Sauvignon gris	Suisse	Genève	Satigny	blanc	2023	75 cl	2025-06-14	0	0	1	1	1	5	1			Offert par Pierre	Cadeau
Domaine Comtesse Eldegarde - Syrah	Suisse	Genève	Satigny	rouge	2012	75 cl	2017-04-15	0	0	0	1	1	5	1			Offert par Pierre Tatzber	Cadeau
Domaine Cros - Les Aspres	France	Languedoc-Roussillon	Minervois	rouge	2012	75 cl	2015-12-23	0	0	0	1	2	5	2			offert par Christine Fuss	Cadeau
